seed,rating,uscf,name,fed,uscfid,expire,FIDE ID,schedule,byes,,
1 , 2679 , 2776 GM , Illia Nyzhnyk , UKR , 15477488 , 06/22 , 14118084 , 5day , 2 ,  ,  
 2 , 2639 , 2725 GM , Lazaro Bruzon Batista , MO , 15199286 , Life , 3503739 , 5day ," 4,6 ",  ,  
 3 , 2638 , 2734 GM , Vladimir Akopian , CA , 12561112 , 06/24 , 13300032 , 5day ,  ,  ,  
 4 , 2633 , 2721 GM , Benjamin Gledura , HUN , 16429168 , 10/21 , 712779 , 5day ,  ,  ,  
 5 , 2606 , 2695 GM , Vasif Durarbayli , AZE , 15491606 , 03/19 , 13402935 , 5day ,  ,  ,  
 6 , 2606 , 2692 GM , Timur Gareyev , KS , 13262157 , Life , 14200937 , 5day ,  ,  ,  
 7 , 2598 , 2683 GM , Aram Hakobyan , ARM , 16863605 , 05/22 , 13306677 , 5day ,  ,  ,  
 8 , 2590 , 2655 GM , Emilio Cordova Daza , PER , 13208885 , 10/21 , 3801497 , 5day ,  ,  ,  
 9 , 2574 , 2672 GM , Nicolas Checa , NY , 14129047 , Life , 2069342 , 5day ,  ,  ,  
 10 , 2567 , 2620 GM , Hans Niemann , CT , 15041466 , Life , 2093596 , 5day ,  ,  ,  
 11 , 2566 , 2657 IM , Nikolas Theodorou , GRE , 16770955 , 05/22 , 4262875 , 5day ,  ,  ,  
 12 , 2562 , 2717 GM , Tigran L Petrosian , ARM , 13981324 , 04/08 , 13301616 , 5day ,  ,  ,  
 13 , 2549 , 2626 GM , Gregory Kaidanov , KY , 12543746 , Life , 2008564 , 5day ," 5,6,8 ",  ,  
 14 , 2540 , 2631 GM , Pavlo Vorontsov , UKR , 16135278 , 06/16 , 14116367 , 5day ,  ,  ,  
 15 , 2538 , 2616 GM , Andrew Tang , MN , 13215196 , Life , 2059630 , 5day ,  ,  ,  
 16 , 2536 , 2630 GM , Akshat Chandra , USA , 14864036 , Life , 25006711 , 5day ,  ,  ,  
 17 , 2532 , 2632 GM , Alexander Shabalov , PA , 12544264 , Life , 2008572 , 5day ," 2,9 ",  ,  
 18 , 2521 , 2628 FM , Aleksey Sorokin , RUS , 17003082 , 09/21 , 24176460 , 5day ,  ,  ,  
 19 , 2520 , 2614 GM , Vladimir Belous , RUS , 16004571 , 05/23 , 4174003 , 5day ,  ,  ,  
 20 , 2512 , 2562 IM , Viktor Matviishen , UKR , 30176249 , 05/22 , 14129850 , 5day ,  ,  ,  
 21 , 2499 , 2597 GM , Steven Zierk , CA , 12796611 , Life , 2034255 , 5day ,  ,  ,  
 22 , 2498 , 2560 GM , Alex Yermolinsky , SD , 12534917 , Life , 2005492 , 5day , 2 ,  ,  
 23 , 2481 , 2544 GM , Melikset Khachiyan , CA , 12827326 , Life , 13300512 , 5day , 2 ,  ,  
 24 , 2469 , 2551 GM , Titas Stremavicius , LTU , 15874756 , 09/20 , 12804444 , 5day ,  ,  ,  
 25 , 2467 , 2556 GM , Carlos A Hevia Alejano , CUB , 15825480 , 01/22 , 3508811 , 5day ,  ,  ,  
 26 , 2462 , 2555 IM , Zurabi Javakhadze , GEO , 15574183 , 09/21 , 13603647 , 5day ,  ,  ,  
